SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.0,best_loss,0.918658,0.000309840811974607,-4278.713431690072,0.17529781344410525,0.932056,0.00035310687568981754,-4270.237166794403,0.15629148460648976
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.0,best_acc,0.9248480000000001,0.00030017540794575277,-3984.9356651750395,0.14329053127349,0.9334020000000001,0.000427067521337552,-3972.9077965535994,0.1734313331939532
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.1,best_loss,0.9439900000000001,0.0002860612192024723,-4720.983177412974,0.11985524017977008,0.953468,0.0002632679737678983,-4708.805428204115,0.08995684904716222
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.1,best_acc,0.945208,0.00027998034209195945,-4686.8798831833465,0.12207977996285554,0.952928,0.0003122229517655997,-4674.510776428995,0.09837230121168217
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.2,best_loss,0.948158,0.0003427280277283352,-4641.82649537678,0.12342938073156645,0.9534779999999999,0.0003007815736265013,-4626.6723794748805,0.10291785959102598
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.2,best_acc,0.9482220000000001,0.0002654409680230824,-4612.329387979628,0.13314854037126228,0.9534559999999999,0.0002810568228944423,-4596.6084879351265,0.1006045262425825
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.0,best_loss,0.96418,0.00030689608324507194,-4611.251166188687,0.1876439710420603,0.9667720000000002,0.0002918110890327098,-4593.450422085146,0.21066378213917678
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.0,best_acc,0.968558,0.0002455578166747804,-4584.587201221321,0.1250754377567226,0.968842,0.00023209950366935767,-4557.313241569423,0.7173917776569086
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.1,best_loss,0.9682140000000001,0.00024224088623356837,-4712.663307085641,0.11238251389294232,0.9730659999999999,0.00019853221820624066,-4697.22971667326,0.08735082023981729
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.1,best_acc,0.968344,0.00024013252872448902,-4711.51595072686,0.11414799838117973,0.9730880000000001,0.00021625807165863867,-4696.209897275514,0.0872074109316804
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.2,best_loss,0.9677579999999999,0.00027590314807636685,-4620.0152213953725,0.11355634896712526,0.9719359999999999,0.0003205956062248718,-4602.845914013054,0.10278680071298515
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.25,0.2,best_acc,0.9676300000000002,0.00026680114541517615,-4617.355297542524,0.11367042776358527,0.9717999999999999,0.0003013132248354586,-4600.184871192642,0.10161744185789548
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.0,best_loss,0.9699880000000001,0.0002676271141596164,-4717.030025588409,0.12703676167833422,0.970684,0.00027615813213994957,-4710.813808840981,0.12025531288545985
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.0,best_acc,0.9726100000000001,0.0002701167166171666,-4654.122174520371,1.0864177736961653,0.973122,0.00021027980662122355,-4715.612525341179,0.11846152505782188
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_loss,0.9734099999999999,0.00024677380823825697,-4711.125510655657,0.11512386168104731,0.976016,0.00022254776219672047,-4693.023740976068,0.0934598921654945
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.1,best_acc,0.9736199999999999,0.0002504041267359538,-4708.671166683149,0.11510213169864782,0.9760340000000001,0.0002361491286889195,-4690.499442741298,0.09357715167039436
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_loss,0.97142,0.00031036756674413115,-4594.457474658821,0.12604105550773304,0.973074,0.00026621729416839924,-4576.036854850672,0.1084229529367282
1.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.5,0.2,best_acc,0.9717660000000001,0.0002853319557039548,-4589.011388449368,0.1260314773033831,0.9730819999999999,0.00028935206097580014,-4570.2320470727855,0.10629383135533141
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.0,best_loss,0.940104,0.0002884545936740684,-4267.252985005439,0.5636984079286246,0.947688,0.00032614556876803084,-4276.685274241001,0.5013334314021027
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.0,best_acc,0.943136,0.00033255765847999767,-4203.6155927363525,0.563065297747564,0.9468700000000001,0.00030241896515627244,-4176.932507602353,0.6337498860501336
2.0,hybrid_v3_1x1_double,SimpleSplitGMM,Adam,0.0,0.1,best_loss,0.946374,0.00027600588661752626,-4654.188809953521,0.4051390475034852,0.95583,0.00023260743653540425,-4663.211378436511,0.2891047917653703
